year,bcnh_nest_density,dcco_nest_density,total_nest_density,growth_index_BCNH,growth_index_DCCO,bcnh_road_proximity,bcnh_nest_success,dcco_usurpation,winter_nestremoval,deterrence_activenestremoval,deterrence_night
1992,-0.18262931,-0.035761523,-0.218390833,0,0,NA,NA,NA,NA,NA,NA
1993,0.018161152,-0.00623436,0.011926792,0.937142857,1.198855152,3,NA,NA,NA,NA,NA
1994,0.028331105,0.032824855,0.06115596,-0.314285714,2.40822979,17,NA,NA,NA,NA,NA
1995,0.038145907,0.081348072,0.119493979,0.888849263,-0.416359871,11,NA,NA,NA,NA,NA
1996,0.039719131,0.017587959,0.05730709,1.156481481,0.140276684,29,NA,NA,NA,NA,NA
1997,0.039607593,0.014690577,0.05429817,-0.943518519,0.442736071,38,NA,NA,NA,NA,NA
1998,0.014404812,0.01039757,0.024802382,-0.233621934,1.410645037,7,NA,NA,NA,NA,NA
1999,0.0236984,0.007433297,0.031131697,0.106470495,-0.122500363,NA,NA,NA,NA,NA,NA
2000,0.095588952,0.013454657,0.109043609,0.102146888,1.187409771,NA,NA,NA,NA,NA,NA
2001,0.001405061,0.050475797,0.051880858,-0.952529453,0.929226956,NA,NA,NA,NA,NA,NA
2002,0.02020055,0.090122843,0.110323393,1.64339207,0.444312403,148,NA,NA,NA,NA,NA
2003,0.009853057,0.085151967,0.095005024,0.793992948,0.287621905,241,NA,NA,NA,NA,NA
2004,0.026971914,0.063461317,0.090433231,-1.03943514,0.219940207,261,NA,NA,NA,NA,NA
2005,0.009324438,0.036266599,0.045591037,0.2957239,-0.499499528,231,NA,NA,NA,NA,NA
2006,0.019441963,0.029686957,0.04912892,-1.182169777,-0.328817253,124,NA,NA,NA,NA,NA
2007,0.193526385,0.019913105,0.21343949,0.606536103,-0.592101636,133,NA,NA,NA,NA,NA
2008,0.100494844,0.023839172,0.124334016,-1.674764976,-0.899795531,67,NA,NA,NA,0,0
2009,0.082455006,0.017807537,0.100262543,-2.066892259,-1.140972965,24,0.03,3,0,0,1
2010,0.025040578,0.018584472,0.04362505,-0.916666667,0.669664139,1,0.45,3,1,1,1
2011,0.024470197,0.012592816,0.037063013,1.48630137,0.94526748,72,0.45,1,1,1,1
2012,0.05052913,0.017500581,0.068029711,-0.739558971,-0.125220022,9,0.67,0,1,1,0
2013,0.014175484,0.011784433,0.025959917,-0.083958724,-0.553166169,13,0.19,0,1,1,1
2014,0.010579879,0.013755932,0.024335811,0.777752809,-0.345690353,261,0.29,4,1,1,1
2015,0.01593492,0.016784527,0.032719447,0.411489315,-0.519026777,305,0.38,0,1,1,1
2016,0.047976292,0.013396619,0.061372911,-0.666116914,-1.32615167,239,0.26,0,1,1,1
2017,0.04302887,0.029489128,0.072517998,0.46586748,1.135591417,288,0,1,1,1,1
2018,0.00177256,-0.002371858,-5.99E-04,0.311111111,-1.922878847,227,0,0,1,1,1
2019,0.072891469,0.056251206,0.129142675,0.042553191,2.899195875,254,0,0,1,1,1
2020,0.013814123,0.043782014,0.057596137,0.59267527,0.654626281,111,0,0,1,0,0
2021,-0.009439955,0.017253675,0.00781372,-2.393442623,-1.885989948,18,NA,NA,1,1,1
2022,NA,0.016703475,NA,-1,-2.213208021,NA,NA,NA,1,1,1
2023,NA,0.022870609,NA,0,1.969992195,NA,NA,NA,1,1,1
