year,peninsula,species,road_proximity
1993,B,BCNH,3
1994,B,BCNH,17
1995,B,BCNH,11
1996,B,BCNH,29
1997,B,BCNH,38
1998,B,BCNH,7
2002,A,BCNH,2
2002,B,BCNH,146
2003,B,BCNH,241
2004,B,BCNH,261
2005,B,BCNH,231
2006,B,BCNH,124
2007,B,BCNH,133
2008,B,BCNH,67
2009,B,BCNH,24
2010,B,BCNH,1
2011,B,BCNH,72
2012,B,BCNH,9
2013,B,BCNH,13
2014,B,BCNH,22
2014,C,BCNH,239
2015,B,BCNH,51
2015,C,BCNH,254
2016,B,BCNH,21
2016,C,BCNH,218
2017,B,BCNH,155
2017,C,BCNH,133
2018,A,BCNH,2
2018,B,BCNH,225
2019,B,BCNH,235
2019,C,BCNH,19
2020,A,BCNH,2
2020,B,BCNH,16
2020,C,BCNH,93
2021,C,BCNH,18
