"year","bcnh_count","dcco_count"
1992,21,66
1993,185,139
1994,490,459
1995,752,367
1996,1154,869
1997,800,1212
1998,786,1622
1999,952,2283
2000,1149,2688
2001,690,3080
2002,1061,3276
2003,1125,3685
2004,842,4624
2005,744,4379
2006,528,4755
2007,642,4949
2008,315,4427
2009,166,4342
2010,144,4042
2011,365,4884
2012,339,3817
2013,263,3343
2014,381,2966
2015,372,2621
2016,317,2176
2017,333,4841
2018,227,178
2019,293,3882
2020,140,4097
2021,74,2038
2022,0,1000
2023,0,2249
