year,species,management,winter_nestremoval,deterrence_ activenestremoval,deterrence_night
1992,dcco,0,,,
1993,dcco,0,,,
1994,dcco,0,,,
1995,dcco,0,,,
1996,dcco,0,,,
1997,dcco,0,,,
1998,dcco,0,,,
1999,dcco,0,,,
2000,dcco,0,,,
2001,dcco,0,,,
2002,dcco,0,,,
2003,dcco,0,,,
2004,dcco,0,,,
2005,dcco,0,,,
2006,dcco,0,,,
2007,dcco,0,,,
2008,dcco,0,,0,0
2009,dcco,1,0,0,1
2010,dcco,1,1,1,1
2011,dcco,1,1,1,1
2012,dcco,1,1,1,0
2013,dcco,1,1,1,1
2014,dcco,1,1,1,1
2015,dcco,1,1,1,1
2016,dcco,1,1,1,1
2017,dcco,1,1,1,1
2018,dcco,1,1,1,1
2019,dcco,1,1,1,1
2020,dcco,0,1,0,0
2021,dcco,1,1,1,1
2022,dcco,1,1,1,1
2023,dcco,1,1,1,1
